dong,id
가락1동,0
가락2동,1
가락본동,2
가리봉동,3
가산동,4
가양제1동,5
가양제2동,6
가양제3동,7
가회동,8
갈현제1동,9
갈현제2동,10
강일동,11
개봉제1동,12
개봉제2동,13
개봉제3동,14
개포1동,15
개포2동,16
개포4동,17
거여1동,18
거여2동,19
고덕제1동,20
고덕제2동,21
고척제1동,22
고척제2동,23
공덕동,24
공릉1.3동,25
공릉2동,26
공항동,27
광장동,28
광희동,29
교남동,30
구로제1동,31
구로제2동,32
구로제3동,33
구로제4동,34
구로제5동,35
구산동,36
구의제1동,37
구의제2동,38
구의제3동,39
군자동,40
금호1가동,41
금호2.3가동,42
금호4가동,43
길동,44
길음제1동,45
길음제2동,46
낙성대동,47
난곡동,48
난향동,49
남가좌제1동,50
남가좌제2동,51
남영동,52
남현동,53
내곡동,54
노량진제1동,55
노량진제2동,56
녹번동,57
논현1동,58
논현2동,59
능동,60
답십리제1동,61
답십리제2동,62
답십리제3동,63
답십리제4동,64
당산제1동,65
당산제2동,66
대림제1동,67
대림제2동,68
대림제3동,69
대방동,70
대조동,71
대치1동,72
대치2동,73
대치4동,74
대학동,75
대흥동,76
도곡1동,77
도곡2동,78
도림동,79
도봉제1동,80
도봉제2동,81
도화동,82
독산제1동,83
독산제2동,84
독산제3동,85
독산제4동,86
돈암제1동,87
돈암제2동,88
동선동,89
둔촌제1동,90
둔촌제2동,91
등촌제1동,92
등촌제2동,93
등촌제3동,94
마장동,95
마천1동,96
마천2동,97
망우본동,98
망우제3동,99
망원제1동,100
망원제2동,101
면목본동,102
면목제2동,103
면목제3.8동,104
면목제4동,105
면목제5동,106
면목제7동,107
명동,108
명륜3가동,109
명일제1동,110
명일제2동,111
목1동,112
목2동,113
목3동,114
목4동,115
목5동,116
무악동,117
묵제1동,118
묵제2동,119
문래동,120
문정1동,121
문정2동,122
미성동,123
미아동,124
반포1동,125
반포2동,126
반포3동,127
반포4동,128
반포본동,129
발산제1동,130
방배1동,131
방배2동,132
방배3동,133
방배4동,134
방배본동,135
방이1동,136
방이2동,137
방학제1동,138
방학제2동,139
방학제3동,140
방화제1동,141
방화제2동,142
방화제3동,143
번제1동,144
번제2동,145
번제3동,146
보광동,147
보라매동,148
보문동,149
부암동,150
북가좌제1동,151
북가좌제2동,152
북아현동,153
불광제1동,154
불광제2동,155
사근동,156
사당제1동,157
사당제2동,158
사당제3동,159
사당제4동,160
사당제5동,161
사직동,162
삼각산동,163
삼선동,164
삼성1동,165
삼성2동,166
삼성동,167
삼양동,168
삼전동,169
삼청동,170
상계10동,171
상계1동,172
상계2동,173
상계3.4동,174
상계5동,175
상계6.7동,176
상계8동,177
상계9동,178
상도제1동,179
상도제2동,180
상도제3동,181
상도제4동,182
상봉제1동,183
상봉제2동,184
상암동,185
상일동,186
서강동,187
서교동,188
서림동,189
서빙고동,190
서원동,191
서초1동,192
서초2동,193
서초3동,194
서초4동,195
석관동,196
석촌동,197
성내제1동,198
성내제2동,199
성내제3동,200
성북동,201
성산제1동,202
성산제2동,203
성수1가제1동,204
성수1가제2동,205
성수2가제1동,206
성수2가제3동,207
성현동,208
세곡동,209
소공동,210
송정동,211
송중동,212
송천동,213
송파1동,214
송파2동,215
수궁동,216
수색동,217
수서동,218
수유3동,219
수유제1동,220
수유제2동,221
수유제3동,222
숭인제1동,223
숭인제2동,224
시흥제1동,225
시흥제2동,226
시흥제3동,227
시흥제4동,228
시흥제5동,229
신길제1동,230
신길제3동,231
신길제4동,232
신길제5동,233
신길제6동,234
신길제7동,235
신내1동,236
신내2동,237
신당제1동,238
신당제2동,239
신당제3동,240
신당제4동,241
신당제5동,242
신당제6동,243
신대방제1동,244
신대방제2동,245
신도림동,246
신림동,247
신사동,248
신사제1동,249
신사제2동,250
신설동,251
신수동,252
신원동,253
신월1동,254
신월2동,255
신월3동,256
신월4동,257
신월5동,258
신월6동,259
신월7동,260
신정1동,261
신정2동,262
신정3동,263
신정4동,264
신정6동,265
신정7동,266
신촌동,267
신흥동,268
쌍문제1동,269
쌍문제2동,270
쌍문제3동,271
쌍문제4동,272
아현동,273
안암동,274
암사제1동,275
암사제2동,276
암사제3동,277
압구정동,278
양재1동,279
양재2동,280
양평제1동,281
양평제2동,282
여의동,283
역삼1동,284
역삼2동,285
역촌동,286
연남동,287
연희동,288
염리동,289
염창동,290
영등포동,291
영등포본동,292
영종동,293
오금동,294
오류제1동,295
오류제2동,296
오륜동,297
옥수동,298
왕십리도선동,299
왕십리제2동,300
용강동,301
용답동,302
용두동,303
용문동,304
용산2가동,305
우이동,306
우장산동,307
원효로제1동,308
원효로제2동,309
월계1동,310
월계2동,311
월계3동,312
월곡제1동,313
월곡제2동,314
은천동,315
을지로동,316
응봉동,317
응암제1동,318
응암제2동,319
응암제3동,320
이문제1동,321
이문제2동,322
이문제3동,323
이촌제1동,324
이촌제2동,325
이태원제1동,326
이태원제2동,327
이화동,328
인수동,329
인헌동,330
일원1동,331
일원2동,332
일원본동,333
자양제1동,334
자양제2동,335
자양제3동,336
자양제4동,337
잠실2동,338
잠실3동,339
잠실4동,340
잠실6동,341
잠실7동,342
잠실본동,343
잠원동,344
장안제1동,345
장안제2동,346
장안제3동,347
장안제4동,348
장위제1동,349
장위제2동,350
장위제3동,351
장지동,352
장충동,353
전농제1동,354
전농제2동,355
전농제3동,356
정릉제1동,357
정릉제2동,358
정릉제3동,359
정릉제4동,360
제기제1동,361
제기제2동,362
조원동,363
종로1.2.3.4가동,364
종로5.6가동,365
종암동,366
중계1동,367
중계2.3동,368
중계4동,369
중계본동,370
중곡제1동,371
중곡제2동,372
중곡제3동,373
중곡제4동,374
중림동,375
중앙동,376
중화제1동,377
중화제2동,378
증산동,379
진관동,380
창신제1동,381
창신제2동,382
창신제3동,383
창제1동,384
창제2동,385
창제3동,386
창제4동,387
창제5동,388
천연동,389
천호제1동,390
천호제2동,391
천호제3동,392
청담동,393
청량리동,394
청룡동,395
청림동,396
청운효자동,397
청파동,398
충현동,399
평창동,400
풍납1동,401
풍납2동,402
필동,403
하계1동,404
하계2동,405
한강로동,406
한남동,407
합정동,408
행당제1동,409
행당제2동,410
행운동,411
혜화동,412
홍은제1동,413
홍은제2동,414
홍제제1동,415
홍제제2동,416
홍제제3동,417
화곡본동,418
화곡제1동,419
화곡제2동,420
화곡제3동,421
화곡제4동,422
화곡제6동,423
화곡제8동,424
화양동,425
황학동,426
회기동,427
회현동,428
효창동,429
후암동,430
휘경제1동,431
휘경제2동,432
흑석동,433
